link,title,company,additional_title,job_desc,include_keyword,exclude_keyword
https://www.jobstreet.co.id/id/job/junior-programmer-4489425?jobId=jobstreet-id-job-4489425&sectionRank=11&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Junior Programmer,PT Trisco Tailored Apparel Manufacturing,"Bandung
Ditayangkan pada 5-Oct-23","Job Description:
Create programs/applications according to user request.
Maintain existing programs/applications.
Work with technical support regarding the installation of programs/applications on the user's computer.
Ensure the program/application runs smoothly.
Solve problems that occur in the programs/applications.
Requirements:
Have experience in the field of application development, database development, and/or data analysis, Fresh graduates with basic programming skills are welcome to apply.
Required skill(s): .NET, VB, ASP.NET, SQL Server.
Candidate must possess at least High School Diploma/Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science, Information Technology or equivalent.
Excellent English skills (spoken & written).
Willing to be placed in Bandung.","excel,sql",-
https://www.jobstreet.co.id/id/job/staff-programmer-4488925?jobId=jobstreet-id-job-4488925&sectionRank=12&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Staff Programmer,PT Tirta Utama Abadi,"Bandung
Ditayangkan pada 4-Oct-23","Kualifikasi :
- Usia maksimal 30 tahun
- Pendidikan minimal D3/S1 Ilmu Komputer / Informatika, GPA 2,75
- Berpengalaman sebagai programmer minimal 2 tahun
- Menguasai VB.Net, SQL Server, PHP, Framework Laravel, Javascript
- Mampu membuat program/aplikasi android menjadi nilai plus
- Lokasi penempatan di Bandung
Tanggung Jawab :
Bertangung jawab untuk menganalisa kebutuhan perusahaan dan membuat program/system untuk perusahaan, selain itu juga bertanggung jawab untuk maintenance atas program yang telah dibuat tersebut.",sql,android
https://www.jobstreet.co.id/id/job/software-engineer-1037116287?jobId=jobstreet-id-job-1037116287&sectionRank=13&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Software Engineer,PT Sumber Artho Indoraya,"Jawa Barat
Ditayangkan pada 4-Oct-23","# Deskripsi Pekerjaan:
PT Sumber Artho Indoraya saat ini mencari seorang Software Engineer yang berbakat dan bersemangat untuk bergabung dengan tim pengembangan kami. Sebagai Software Engineer, Anda akan berperan dalam merancang, mengembangkan sistem untuk kebutuhan industri. Anda akan bekerja bersama tim berpengalaman untuk menciptakan solusi yang dapat memudahkan customer dalam memonitor dan control jalannya produksi.
Tanggung Jawab Utama:
- Merancang, mengembangkan, dan menguji sistem instrumentasi berbasis spesifikasi dan kebutuhan proyek.
- Berkolaborasi dengan tim lintas fungsi untuk mengidentifikasi dan memecahkan masalah teknis.
- Memastikan keamanan, kualitas, dan kinerja sistem instrumentasi yang dihasilkan.
- Melakukan pemeliharaan dan pembaruan sistem instrumentasi yang ada.
- Melibatkan diri dalam penelitian teknologi baru dan tren industri.
# Persyaratan:
- Gelar Sarjana dalam Ilmu Komputer, Teknik Perangkat Lunak, atau bidang terkait.
- Pengalaman kerja sebelumnya sebagai Software Engineer atau peran terkait.
- Penguasaan dalam bahasa pemrograman seperti [Contoh: Java, Python, C++].
- Kemampuan analisis, pemecahan masalah, dan pemikiran kreatif yang kuat.
- Keterampilan komunikasi interpersonal yang baik.
- Kemampuan bekerja dalam tim dan berkontribusi dalam lingkungan kerja kolaboratif.
- Pengetahuan tentang praktik pengembangan sistem instrumentasi

Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
-",python,-
https://www.jobstreet.co.id/id/job/devops-engineer-4493272?jobId=jobstreet-id-job-4493272&sectionRank=14&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,DevOps Engineer,PT Distributor Indonesia Unggul,"Bandung
IDR 3.000.000 - IDR 4.500.000
Ditayangkan pada 9-Oct-23","Responsibilities
Build, maintain, and automate system infrastructure that is robust, and cost-efficient, covering critical development processes, and delivering high reliability and best performance possible.
Leverage a 100% AWS driven infrastructure using latest DevOps and Infrastructure as Code frameworks and best practices.
Ensuring systems are secure and compliant with industry best practices.
Performing quick and accurate troubleshooting, diagnostic to the production system.
Assisting with capacity planning and scalability to ensure systems are optimized for continuous growth.
Implementing system automation architecture, infrastructure, and process.
Providing occasional off-shift availability for Production issues or maintenance.
Requirements
3+ years of experiences inDevOps/SRE position, in AWS cloud service environments is a plus
Demonstrated proficiencies in all following:
Linux system administration
Web technologies (Nginx etc.)
Database technologies (MySQL, MongoDB)
Containers technologies (K8S/Docker, orchestration services)
Ability to automate repeated manual tasks with python, shell, utilizing Jenkins etc.
Demonstrated experiences in 
Logging, monitoring and alerting for infrastructure and applications/services.
Fast learner, service attitude, methodical problem solver, strong in analytical and troubleshooting skills
Must be fluent in English, written and spoken
Senior candidates would need to have demonstrated experiences in:
Testing and deploying large scale platforms
Infrastructure as code (Terraform, CloudFormation)","python,sql",-
https://www.jobstreet.co.id/id/job/fullstack-developer-4485791?jobId=jobstreet-id-job-4485791&sectionRank=15&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Fullstack Developer,Geekseat,"Beberapa lokasi kerja
Ditayangkan pada 2-Oct-23","As a Full Stack (Java) Developer you will be responsible for designing, building, maintaining, testing, and debugging our applications technology. You will analyze existing systems to improve and boost performance, document development processes and architecture, and collaborate with our development teams to ensure software solutions are delivered on time, within budget, and to a high standard.
Requirements:
Candidates must possess at least a Diploma degree in Computer Science/Information Technology or equivalent
Strong problem-solving and critical-thinking skills
Good written and verbal communication skills
Write clean, efficient, and well-documented code in accordance with development standards
Fluent in Java programming languages with a minimum of 3 years of experience
Proficiency in HTML, CSS, and JavaScript and knowledge of CSS preprocessors
Preferred 2 years' experience of Vue.JS, and other modern JavaScript Frameworks (React.JS, Angular.JS, Kendo.UI)
Experience of using MVC Frameworks (Spring, Spring Boot, etc.)
Familiar with SQL or NoSQL
Familiar with Git
Strong grasp of Object-Oriented Programming and Functional Concepts
Fluent in English – both written and oral communication skills
Up-to-date with the latest technologies and industry trends
Eager to learn, have a strong work ethic, and are committed to developing their skills and knowledge in their chosen field. 
Nice-to-haves:
Strong experience of or interest in Code Refactoring and Software Design Patterns
Deep knowledge of the Software Development Process
Experience of Agile Development Methodologies
Familiar with TDD or BDD",sql,"fullstack,full stack"
https://www.jobstreet.co.id/id/job/programmer-4480658?jobId=jobstreet-id-job-4480658&sectionRank=16&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Programmer,PT Daese Garmin,"Bandung
Ditayangkan pada 29-Sep-23","Deskripsi Pekerjaan :
Merancang, mengembangkan dan menguji aplikasi dan website
Memastikan semua aplikasi dapat berjalan dengan baik.
Merancang cara penggunaan dalam mengakses aplikasi dan website.
Merancang dan mengembangkan API
Dapat menyelesaikan masalah user
Persyaratan Pekerjaan :
- Lulusan S1 Teknik Informatika/Sistem Informasi.
- Menguasai bahasa pemrograman Web.
- Menguasai SQL dan DBMS, lebih diutamakan yang menguasai PostreSQL.
- Menguasai teknis jaringan.
- Menguasai manajemen server dan virtual server.
Pengalaman dalam mobile app development menjadi nilai tambah
Memiliki kemampuan pengaturan dan pembagian waktu serta komunikasi yang baik. dan mudah beradaptasi",sql,-
https://www.jobstreet.co.id/id/job/software-developer-4481032?jobId=jobstreet-id-job-4481032&sectionRank=17&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Software Developer,Rolling Glory - Creative Digital Enabler,"Beberapa lokasi kerja
IDR 5.000.000 - IDR 8.000.000
Ditayangkan pada 26-Sep-23","Responsibilities :
Collaborate in digital product development with Project Manager, team, and stakeholders.
Analyze, plan, and design software based on requirements and specifications.
Implement software using best practice and conventions.
Test software for compliance with requirements and design.
Deploy software to staging or production servers.
Create comprehensive technical documentation.
Requirements :
Minimum of 3 years of experience in a similar role
Profiency in frontend development (HTML, CSS, Bootsrap, jQuery) and JavaScript frameworks (ReactJS, VueJS, NuxtJS).
Knowledge of backend development (PHP frameworks: Laravel, Yii2, or NodeJS, ExpressJS, NestJS).
Experience in Flutter application development and published apps in Play Store / App Store.
Familiarity with Firebase for backend services and web service integration.
Passion for high-quality creative digital applications.",-,flutter
https://www.jobstreet.co.id/id/job/it-programmer-staff-4475839?jobId=jobstreet-id-job-4475839&sectionRank=18&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,IT PROGRAMMER STAFF,PT Multi Wahana Kencana,"Bandung
Ditayangkan pada 24-Sep-23","Deskripsi pekerjaan:
Menerima, memprioritaskan, dan menyelesaikan permintaan bantuan IT.
Instalasi dan software maintenance.
Membuat aplikasi baik itu berbasis web dan mobile (Android).
Mengembangkan aplikasi yang sudah berjalan sesuai dengan permintaan user.
Kualifikasi:
S1 Teknik Informatika / Teknik Komputer
Minimal memiliki pengalaman kerja selama 1 tahun di bidang yang sama
Menguasai Pemrograman Website (HTML, PHP, MySQL, CSS, JavaScript), memahami framework Laravel / CodeIgniter menjadi nilai lebih.
Menguasai Android Studio
Pernah membuat Website dan Aplikasi Android
Menguasai Troubleshooting Komputer dan Jaringan (software)
Mengetahui konsep jaringan",sql,android
https://www.jobstreet.co.id/id/job/back-end-developer-4479426?jobId=jobstreet-id-job-4479426&sectionRank=19&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Back-End Developer,SBM - ITB,"Jawa Barat
IDR 5.000.000 - IDR 6.000.000
Ditayangkan pada 25-Sep-23","Persyaratan:
Pendidikan Minimal D3 Jurusan Teknik Informatika, Sistem Informasi atau bidang terkait
Memiliki pengalaman bekerja minimal 1 tahun sesuai posisi terkait, atau pengerjaan project pengembangan sistem/aplikasi dalam skala perusahaan
Menguasai Bahasa Pemrograman Go Lang
Menguasai Framework Go Lang (Gin)
Memiliki kemampuan merancang Relational Database, manajemen DBMS menggunakan SQL dan Complex Query
Memiliki pemahaman merancang dan implementasi RESTful API
Memiliki kemampuan manajemen server
Memiliki kemampuan menggunakan Code Versioning Tools (GIT)
Memiliki kemampuan dasar PHP (Framework CakePHP), HTML, CSS, dan Javascript sebagai nilai tambah
Memiliki pemahaman mengenai Front-End frame work (Vue.Js) sebagai nilai tambah
Tanggung Jawab:
Perancangan Database
Meningkatkan Struktur Data yang Telah Ada
Merancang alur Aplikasi
Pemrograman dan Testing
Mengatur Keamanan Aplikasi
Mengatasi Permasalahan yang Muncul di Back-End",sql,-
https://www.jobstreet.co.id/id/job/rnd-senior-software-engineer-4476769?jobId=jobstreet-id-job-4476769&sectionRank=20&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,RnD Senior Software Engineer,PT Formulatrix Indonesia,"Beberapa lokasi kerja
IDR 15.000.000 - IDR 30.000.000
Ditayangkan pada 21-Sep-23","Headquartered in Dubai, United Arab Emirates, Formulatrix is a fast-growing robotic automation equipment manufacturer and software solutions provider to leading pharmaceutical companies and academic research institutions including major Fortune 500 and Fortune 100 companies. The company has aggressively grown because of our industry-recognized patented technology and superior software delivery services.
We are seeking hands-on, top-notch Software Engineers who are experienced in leading a team, can work with Object-Oriented Programming, and has expertise in C# / C++/ Java to implement components of our software products and robotic control systems. 
Job Description
Understanding best coding practices and designing thoughtful coding patterns.
Analyzing problems and proposing an implementation to solve the issues.
Troubleshooting problems in the field.
Collaborating with peers to deliver high-quality products on time.
Leading and mentoring peers or a more junior position.
Requirements
Candidate must possess at least Bachelor's Degree in Computer Science, Information Technology, Electronic Engineering, or equivalent professional experience in software development.
Have experience with a complete software development life cycle.
Solid experience of at least 4 years in C# / C++/ Java is preferable (the combination of these three is also acceptable).
Demonstrated experience with system architecture review, OOP, and software programming in a team environment.
Good grasp and used best practices in programming.
Committed to writing good quality and high-performance code.
Demonstrated good logical thinking as well as attention to detail.
Proactive, highly motivated, and a strong team player with a good ability to multi-task and re-prioritize as necessary.
Demonstrate leadership, project management, and mentor experience.
Excellent communication skills in English both oral and written.
Applicants must be willing to work onsite in Salatiga or Semarang or Bandung.",excel,-
https://www.jobstreet.co.id/id/job/senior-odoo-developer-4482542?jobId=jobstreet-id-job-4482542&sectionRank=21&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Senior Odoo Developer,PT Sanbe Farma,"Bandung
Ditayangkan pada 27-Sep-23","Syarat Jabatan :
Pendidikan minimal Sarjana Teknik Informatika atau Sistem Informasi dari Universitas Terkemuka
Usia maksimal 40 tahun
Pengalaman minimal 5 tahun dalam membangun, mengembangkan dan mengimplementasikan perangkat lunak aplikasi berbasis Odoo
Menguasai bahasa pemograman Phyton, XML, JavaScript serta menggunakan PostgreSQL 
Memahami dan menguasai Odoo Framework, termasuk ORM (Object Ralation Mapping) dan MVC (Model View Controller)
Mengetahui sistem control versi seperti Git
Menguasai dan memahami bisnis proses dan menerjemahkannya ke dalam perangkat lunak
Memiliki keahlian didalam penyelesaian masalah pada software aplikasi berbasis Odoo
Memiliki komunikasi yang baik untuk menggali dan menganalisa kebutuhan user
Mampu membimbing dan memimpin tim didalam membangun, menyelesaikan dan mengimplementasikan perangkat lunak aplikasi berbasis Odoo
Mampu mengembangkan rencana proyek secara terperinci sesuai deadline untuk memastikan pelaksanaan proyek berhasil
Berpengalaman dalam mengolah data Odoo lebih dari 10 juta data adalah suatu keharusan
Berpengalaman dalam membuat sistem dengan banyak cabang adalah suatu keharusan
Lebih disukai dapat membangun sistem Odoo berbasis Mobile (Android/IOS)
Penempatan di Kota Bandung (Jawa Barat) / On Site",sql,"android,ios"
https://www.jobstreet.co.id/id/job/programmer-1037095814?jobId=jobstreet-id-job-1037095814&sectionRank=22&token=0~d8abf4bf-2ab3-4bde-9733-f36dfc79e1de&fr=SRP%20View%20In%20New%20Tab,Programmer,PT. Prasada Properti Indonesia sebagai rekruter Galeri Ciumbuleuit Group,"Jawa Barat
Ditayangkan pada 2-Oct-23","- Min D3 / S1 Komputer/Teknik Informasi
- Min. 1 tahun pengalaman sebagai Fullstack Programmer
- Mampu mengoperasikan FLUTTER untuk membuat aplikasi android/ios
- Service Oriented
- Familiar dengan POSTGRESQL database

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi
Sabtu: Pagi
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 03 November 2023
-",sql,"fullstack,android,ios,flutter"
